line_index,timestamp,initial_mode,outcomes,bets_placed,wins,losses,ties,profit,duration,end_reason
0,20250211_095412,BBB,PPPPBPBPBPTPBBBTTTBTPBBBPPBTPBTBPBTPBBBBBBPPPBTBPBBPPBPP,45,20,16,9,361.5,,nameless built-in line end
1,20250211_102431,PPP,TBBPBBBBBPPBPBTBBPBTBBT,17,10,4,3,276.0,,all outcomes processed
2,20250211_103635,PPP,BPBTBBPBBBBTPBB,9,6,2,1,176.0,,all outcomes processed
3,20250211_105142,BBB,PPPBPBBPBPPBBPBPPPPP,14,7,7,0,54.5,,all outcomes processed
4,20250211_111541,PPP,BBBPBBTBBBBPBBPBTPPBBPPBBPPBBPPBBPPBBPBB,34,16,16,2,-85.0,,all outcomes processed
5,20250211_114547,PPP,BBBBBPPPBTPPPBBBBBPBBPBBTBPBTTTPBPPPBPBPPPPBTPBBPTPPPPPBBBBPBBPBP,49,22,20,7,408.0,,nameless built-in line end
6,20250211_121900,BBB,PPPPBPBBPPPBTPBBBBBBPBPPBBBPPPBBPBBBBPBBBBBPB,37,20,16,1,374.0,,nameless built-in line end
7,20250211_133412,BBB,BPPPBPPBBPBPPPBTPBPPBBTBPBPPPBBTPTBPPBTBBBPTPBBBBBPPBBTBB,51,22,22,7,279.0,,all outcomes processed
8,20250211_134901,BBB,PBBBPBPTPBPPPPBBPBBBPBBTTBBPBPPBPBPP,30,14,13,3,158.5,,all outcomes processed
9,20250211_141512,BBB,PBBPPPPPPBBBPBBBPBPPPTPBPBPTBBPBPBBPPBPPPTPBPTPPBPBBTTBBBB,52,21,25,6,77.0,,all outcomes processed
10,20250211_143652,BBB,PBBPPPPPPBPBBPPBBPBPPBPPBPPBBPBBPBPPBPBBTBBBPPBPP,43,15,27,1,-1222.5,,all outcomes processed
11,20250211_144806,BBB,PPPBPPBPPBPTPBBBBBBBBPBBB,19,12,6,1,313.5,,all outcomes processed
12,20250211_153358,PPP,PBBBBBPBBBPBPBTBTBBB,14,9,3,2,269.0,,all outcomes processed
13,20250211_154059,BBB,BBPPPPBBBPBPPPTPBPPBPTPPP,19,12,5,2,343.0,,all outcomes processed
14,20250211_160003,BBB,BBPPPPBPBBPBPBPBPBBBBBPBBPBTBPBPPBPBPPPPBPPBPP,40,20,19,1,288.0,,all outcomes processed
15,20250211_162053,PPP,PBBBTBBBBBTBPPPPPPBPPPTBTPPPB,23,13,7,3,309.0,,all outcomes processed
16,20250211_164357,PPP,TPBBBBPBBBPBBBPBPPPPBBPPPBBPBPPBPBPBPTBBBBPBPBB,41,18,22,1,-293.0,,all outcomes processed
17,20250211_175224,BBB,BPPPPPPPTTBBBBPBBBTBBPTBPPBPTBPBBPPBPPBBTBBP,38,14,18,6,-362.0,,all outcomes processed
18,20250211_202615,PPP,BPBBBBTBBBPPBBPBPPPBBTPTPTBBBTPBBBPBPBPPPPBBBTPPPBBPPBPBBB,52,17,29,6,-2056.5,,all outcomes processed
19,20250211_203914,PPP,PPBBBBPBPBBPPPTBPBPBPBTPPPPBPBPPP,27,12,13,2,102.0,,all outcomes processed
20,20250211_205042,BBB,PPPPTPBPPTBPPPPP,10,7,2,1,234.0,,all outcomes processed
21,20250211_205904,BBB,PPPBBPBBPBPTPPPPP,11,8,2,1,272.5,,all outcomes processed
22,20250211_211504,BBB,BTPBPPPBPBPBBPBBPTBPPPBPBTBPBBPPPBPBTPPP,34,14,17,3,-78.0,,all outcomes processed
23,20250212_192837,BBB,PPPPBPBBBBBBBBBBBBBBBPPTBBBPPPPBBPPTPP,11,11,0,0,389.5,,"only 1 cube value left, lower than 20"
24,20250212_195033,PPP,BBPBBBPPPBPBTBBPBBBPBBTBPPBPPBBPPBBPBBPBPPBBPPPPPPTP,46,22,21,3,362.0,,nameless built-in line end
25,20250212_195141,BBB,PPPBPBPBB,3,2,1,0,45.0,,all outcomes processed
